Item,PK,Category,Name,Description,Image
138,9,Devolo Magic 2 Triple,Devolo Magic 2 Triple - Parte del kit triple,/media/part_images/Screenshot_2023-04-15_131656.jpg
139,65,Devolo Magic 2 Wifi,Devolo PowerLine 2xETH + Wifi,/media/part_images/Screenshot_2023-04-15_135701.jpg
140,314,Digitus DN-19 CASTOR-WM castor set for wall cabinets, universal frame,Digitus DN-19 CASTOR-WM castor set for wall cabinets, universal frame,/media/part_images/Screenshot_2024-03-27_092011.png
141,327,Digitus DN-19 SET screw set, size M6 for 19" cabinets,Digitus DN-19 SET screw set, size M6 for 19" cabinets,/media/part_images/Screenshot_2024-04-10_175228.png
142,313,Digitus Shelf DN-19 TRAY-1-SW,Digitus Shelf DN-19 TRAY-1-SW,/media/part_images/Screenshot_2024-03-27_091910.png
143,312,Digitus Wall mounted enclosure Unique series - 600x450 mm (12 RU),Digitus Wall mounted enclosure Unique series - 600x450 mm (12 RU),/media/part_images/Screenshot_2024-03-27_091718.png
144,321,Dörner + Helmer Parquet swivel castor,Dörner + Helmer Parquet swivel castor,/media/part_images/Screenshot_2024-03-29_082104.png
145,149,Drawer Installation Jig,Drawer Installation Jig,/media/part_images/o46orzs38ayyewuyczkhzua6.jpg
146,150,Drill Guide,Drill Guide,/media/part_images/6j6dccv57528khtw6wxz4q3mn.jpg
147,668,DS18B20Z SOP-8,DS18B20U MSOP-8 Single Bus Temperature Sensor Chip,/media/part_images/Screenshot_2025-01-11_085348.png
148,406,EDELHAND© misuratore di contorno set da 2,EDELHAND© misuratore di contorno set da 2,/media/part_images/Screenshot_5-8-2024_94514_www.amazon.it.jpeg
149,91,EH 900,Pialla Elettrica portatile,/media/part_images/get11.jpg
150,99,Einhell  DEG 200-E,Levigatrice triangolare,None
151,74,Einhell TC-BJ 900,Fresatrice Orizzontale Lamellare,/media/part_images/get02.jpg
152,96,Einhell WS-G 115,Smerigliatrice angolare,/media/part_images/get14.jpg
